"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Is Valid Cue","Response Window","Correct Button","Response Time","Discrimination Cue Type"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"0","800","1","N/A","HCL"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"0","790","1","N/A","LCL"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"0","780","0","1036.8430018424988","LCL"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"1","820","1","395.87700366973877","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"1","810","0","N/A","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"0","800","1","N/A","LCL"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"1","790","0","N/A","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"0","830","1","N/A","HCL"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"0","820","1","N/A","LCL"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"1","810","0","N/A","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace (Trace)",,"1","810","0","0.3186129927635193","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace (Trace)",,"1","810","0","1.8484689593315125","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace (Trace)",,"1","810","0","2.998596966266632","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace (Trace)",,"1","810","0","4.663993000984192","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Trace Only",,"1","810","0","0.9499689936637878","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Trace Only",,"1","810","0","1.6384130120277405","TARGET"
"5387f1cdb6145eb6457b23c7","ADMIN-UCSF-7543","2014-05-29T19:49:48-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Trace Only",,"1","810","0","2.186832010746002","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"0","800","1","N/A","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"0","790","1","N/A","HCL"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"0","780","0","1036.8430018424988","LCL"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"1","820","1","395.87700366973877","LCL"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace",,"1","810","0","N/A","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"0","800","1","N/A","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"1","790","0","N/A","LCL"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"0","830","1","N/A","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"0","820","1","N/A","HCL"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap Only",,"1","810","0","N/A","LCL"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace (Trace)",,"1","810","0","0.20855200290679932","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace (Trace)",,"1","810","0","1.6654599905014038","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace (Trace)",,"1","810","0","2.8973159790039062","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Tap & Trace (Trace)",,"1","810","0","3.6644960045814514","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Trace Only",,"1","810","0","0","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Trace Only",,"1","810","0","1.5312539935112","TARGET"
"5388aec6b6145eed507b23cb","ADMIN-UCSF-7543","2014-05-30T09:16:05-0700","Joaq email","MALE","RIGHT","2014-05-29T19:46:24-0700","Trace Only",,"1","810","0","2.145864963531494","TARGET"
"538d5f07b6145e863b3b63cc","BLUE-00044","2014-06-02T22:37:11-0700","Joaq email","MALE","RIGHT","2014-06-02T22:36:02-0700","Tap & Trace",,"1","800","0","3.85479998588562","TARGET"
"538d5f07b6145e863b3b63cc","BLUE-00044","2014-06-02T22:37:11-0700","Joaq email","MALE","RIGHT","2014-06-02T22:36:02-0700","Tap & Trace",,"0","840","1","N/A","TARGET"
"538d5f07b6145e863b3b63cc","BLUE-00044","2014-06-02T22:37:11-0700","Joaq email","MALE","RIGHT","2014-06-02T22:36:02-0700","Tap Only",,"1","800","0","N/A","HCL"
"538d5f07b6145e863b3b63cc","BLUE-00044","2014-06-02T22:37:11-0700","Joaq email","MALE","RIGHT","2014-06-02T22:36:02-0700","Tap Only",,"0","840","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","840","0","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","800","1","800","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","840","0","779.496967792511","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","830","0","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","830","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","870","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","870","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","870","0","780.2990078926086","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","860","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","860","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","860","1","791.2520170211792","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","850","1","767.3180103302002","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","830","0","716.1999940872192","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","790","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","790","0","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","790","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","830","0","660.4840159416199","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","820","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","820","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","820","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","820","0","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","820","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","860","0","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","860","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","900","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","900","0","884.0999603271484","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","890","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","890","0","847.8630185127258","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","880","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","880","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","880","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","880","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","880","1","810.696005821228","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","860","0","815.7579898834229","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","820","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"0","820","0","776.2009501457214","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","740","0","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","740","0","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","780","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap & Trace",,"1","820","1","747.4350333213806","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","810","0","714.7960066795349","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","N/A","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"1","800","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","800","0","778.2779932022095","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","790","0","N/A","LCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"1","790","0","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"1","790","1","N/A","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"1","830","1","740.9719824790955","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"1","820","1","688.3710026741028","TARGET"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","810","0","738.5129928588867","HCL"
"53e186f4b6145ef8400923a1","BLUE-00051","2014-08-05T21:37:54-0400",,"FEMALE","LEFT","2014-08-05T21:31:35-0400","Tap Only",,"0","790","0","N/A","LCL"
